id_caso	codigo_dane_municipio	municipio	departamento	agno	mes	dia	id_persona	sexo	etnia	ocupacion	calidad_victima	tipo_poblacion	militante_politico	grupo_armado	descripcion_grupo_armado	situacion_victima	edad
359640	05001	MEDELLIN	ANTIOQUIA	0000	00	00	401074	Mujer		Sin Informacion	Civil					Viva	
359641	13244	EL CARMEN DE BOLIVAR	BOLIVAR	0000	00	00	401075	Mujer		Sin Informacion	Civil	Periodista o Comunicador Social				Desconocida	
359642	18610	SAN JOSE DEL FRAGUA	CAQUETA	0000	00	00	401076	Mujer		Sin Informacion	Civil					Viva	0 a 6
359643	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401077	Mujer		Sin Informacion	Civil					Muerta	
359644	47170	CHIVOLO	MAGDALENA	0000	00	00	401078	Mujer		Sin Informacion	Civil	Lider Civico				Viva	
359645	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401080	Hombre		Sin Informacion	Civil					Muerta	
359645	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401079	Mujer		Sin Informacion	Civil					Muerta	
359647	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401081	Mujer		Trabajador(a) Sexual	Civil					Muerta	
359648	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401082	Mujer		Empleado	Civil	Maestro o Educador				Viva	
359648	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401083	Mujer		Empleado	Civil	Maestro o Educador				Viva	
359648	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401084	Mujer		Empleado	Civil	Maestro o Educador				Viva	
359651	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401085	Mujer		Sin Informacion	Civil					Viva	
359652	54344	HACARI	NORTE DE SANTANDER	0000	00	00	401086	Mujer		Sin Informacion	Civil					Viva	
359653	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401089	Mujer		Sin Informacion	Civil					Viva	
359653	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401087	Mujer		Sin Informacion	Civil					Viva	13 a 17
359653	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401088	Mujer		Sin Informacion	Civil					Viva	
359653	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401090	Mujer		Sin Informacion	Civil					Viva	
359653	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401091	Mujer		Sin Informacion	Civil					Viva	
359658	68000	SIN INFORMACION	SANTANDER	0000	00	00	401092	Mujer		Sin Informacion	Civil					Viva	13 a 17
359659	68000	SIN INFORMACION	SANTANDER	0000	00	00	401093	Mujer		Economia Informal	Civil	Lider Comunitario				Muerta	
359660	68689	SAN VICENTE DE CHUCURI	SANTANDER	0000	00	00	401094	Mujer		Sin Informacion	Civil					Viva	13 a 17
359661	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401095	Mujer		Campesino	Civil					Viva	
359662	70713	SAN ONOFRE	SUCRE	0000	00	00	401096	Mujer		Sin Informacion	Civil					Desconocida	13 a 17
359663	70713	SAN ONOFRE	SUCRE	0000	00	00	401098	Mujer		Sin Informacion	Civil					Viva	
359663	70713	SAN ONOFRE	SUCRE	0000	00	00	401097	Mujer		Sin Informacion	Civil					Viva	
359665	54810	TIBU	NORTE DE SANTANDER	0000	00	00	431202	Mujer		Sin Informacion	Civil					Muerta	
359666	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401100	Mujer		Sin Informacion	Civil					Viva	
359667	50000	SIN INFORMACION	META	0000	00	00	401101	Mujer		Comerciante	Civil					Viva	
359667	50000	SIN INFORMACION	META	0000	00	00	401102	Mujer		Trabajador(a) Sexual	Civil					Muerta	
359669	50000	SIN INFORMACION	META	0000	00	00	401103	Mujer		Campesino	Civil					Viva	
359670	50711	VISTAHERMOSA	META	0000	00	00	401104	Mujer		Campesino	Civil					Viva	
359671	50000	SIN INFORMACION	META	0000	00	00	401105	Mujer		Sin Informacion	Civil					Viva	
359673	11001	BOGOTA, D.C.	BOGOTA, D.C.	0000	00	00	401107	Mujer		Sin Informacion	Civil					Viva	
359675	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401109	Mujer		Sin Informacion	Civil					Viva	
359676	19110	BUENOS AIRES	CAUCA	0000	00	00	401110	Mujer		Sin Informacion	Civil					Desconocida	
359677	68001	BUCARAMANGA	SANTANDER	0000	00	00	401111	Mujer		Sin Informacion	Civil					Desconocida	13 a 17
359678	20710	SAN ALBERTO	CESAR	0000	00	00	401112	Mujer		Sin Informacion	Civil					Desconocida	7 a 12
359679	68081	BARRANCABERMEJA	SANTANDER	0000	00	00	401113	Mujer		Sin Informacion	Civil					Desconocida	
359681	20001	VALLEDUPAR	CESAR	0000	00	00	401115	Mujer		Sin Informacion	Civil					Desconocida	
359682	18410	LA MONTAÑITA	CAQUETA	0000	00	00	401116	Mujer		Sin Informacion	Civil					Desconocida	
359683	66001	PEREIRA	RISARALDA	0000	00	00	401117	Mujer		Sin Informacion	Civil					Desconocida	
359684	54874	VILLA DEL ROSARIO	NORTE DE SANTANDER	0000	00	00	401118	Mujer		Sin Informacion	Civil					Desconocida	
359685	05001	MEDELLIN	ANTIOQUIA	0000	00	00	401119	Mujer		Sin Informacion	Civil					Desconocida	
359686	68720	SANTA HELENA DEL OPON	SANTANDER	0000	00	00	401120	Mujer		Sin Informacion	Civil					Desconocida	
359687	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401121	Mujer		Sin Informacion	Civil					Desconocida	
359688	20550	PELAYA	CESAR	0000	00	00	401122	Mujer		Sin Informacion	Civil					Desconocida	
359689	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401123	Mujer		Sin Informacion	Civil					Desconocida	
359690	18756	SOLANO	CAQUETA	0000	00	00	401124	Mujer		Sin Informacion	Civil					Desconocida	
359691	52540	POLICARPA	NARIÑO	0000	00	00	401125	Mujer		Sin Informacion	Civil					Desconocida	
359692	76001	CALI	VALLE DEL CAUCA	0000	00	00	401126	Mujer		Sin Informacion	Civil					Desconocida	
359693	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401127	Mujer		Sin Informacion	Civil					Desconocida	
359694	52699	SANTACRUZ	NARIÑO	0000	00	00	483693	Mujer		Sin Informacion	Civil					Desconocida	18 a 28
359695	19142	CALOTO	CAUCA	0000	00	00	401129	Mujer	Afrocolombiano	Sin Informacion	Civil					Desconocida	
359696	05001	MEDELLIN	ANTIOQUIA	0000	00	00	401130	Mujer		Sin Informacion	Civil					Viva	
359697	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401131	Mujer		Sin Informacion	Civil					Muerta	13 a 17
359698	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401132	Hombre		Sin Informacion	Civil					Muerta	29 a 39
359699	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401133	Mujer		Sin Informacion	Civil					Viva	
359700	68377	LA BELLEZA	SANTANDER	0000	00	00	401134	Mujer		Sin Informacion	Civil					Viva	
359701	73168	CHAPARRAL	TOLIMA	0000	00	00	401135	Mujer		Sin Informacion	Civil					Viva	
359702	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401136	Mujer		Sin Informacion	Civil					Viva	
359703	73226	CUNDAY	TOLIMA	0000	00	00	401137	Mujer		Personal de Salud	Civil					Viva	
359704	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401138	Mujer		Sin Informacion	Civil					Viva	
359705	13268	EL PEÑON	BOLIVAR	0000	00	00	401139	Mujer		Sin Informacion	Civil					Desconocida	
359706	76109	BUENAVENTURA	VALLE DEL CAUCA	0000	00	00	401140	Mujer		Sin Informacion	Civil					Desconocida	
359707	27430	MEDIO BAUDO	CHOCO	0000	00	00	401141	Mujer	Afrocolombiano	Sin Informacion	Civil					Desconocida	
359708	13810	TIQUISIO	BOLIVAR	0000	00	00	401142	Mujer		Sin Informacion	Civil					Desconocida	
359709	68615	RIONEGRO	SANTANDER	0000	00	00	401143	Mujer		Sin Informacion	Civil					Muerta	
359712	81794	TAME	ARAUCA	0000	00	00	401146	Mujer		Sin Informacion	Civil					Viva	
359723	27615	RIOSUCIO	CHOCO	0000	00	00	401157	Mujer		Empleado	Civil					Viva	
359725	25885	YACOPI	CUNDINAMARCA	0000	00	00	401159	Mujer		Sin Informacion	Civil					Viva	
359725	25885	YACOPI	CUNDINAMARCA	0000	00	00	401158	Mujer		Sin Informacion	Civil					Viva	
359726	50001	VILLAVICENCIO	META	0000	00	00	401160	Mujer		Sin Informacion	Civil					Viva	
359726	50001	VILLAVICENCIO	META	0000	00	00	401161	Mujer		Sin Informacion	Civil					Viva	
359732	73283	FRESNO	TOLIMA	0000	00	00	401166	Mujer		Sin Informacion	Civil					Viva	
359733	05895	ZARAGOZA	ANTIOQUIA	0000	00	00	401167	Mujer		Sin Informacion	Civil					Viva	13 a 17
359754	05313	GRANADA	ANTIOQUIA	0000	00	00	401188	Mujer		Sin Informacion	Civil					Viva	
359755	05313	GRANADA	ANTIOQUIA	0000	00	00	401189	Mujer		Sin Informacion	Civil					Muerta	
359756	05679	SANTA BARBARA	ANTIOQUIA	0000	00	00	401190	Mujer		Sin Informacion	Civil					Viva	
359757	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401191	Mujer		Sin Informacion	Civil	Desvinculado				Viva	
359758	05490	NECOCLI	ANTIOQUIA	0000	00	00	401192	Mujer		Sin Informacion	Civil					Viva	
359758	05490	NECOCLI	ANTIOQUIA	0000	00	00	401193	Mujer		Sin Informacion	Civil					Viva	
359762	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	457732	Hombre		Trabajador de Finca	Civil					Viva	40 a 59
359766	05051	ARBOLETES	ANTIOQUIA	0000	00	00	401200	Mujer		Sin Informacion	Civil					Viva	
359767	47001	SANTA MARTA	MAGDALENA	0000	00	00	401201	Mujer		Sin Informacion	Civil					Viva	7 a 12
359770	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401204	Mujer		Sin Informacion	Civil					Muerta	
359771	54810	TIBU	NORTE DE SANTANDER	0000	07	16	401205	Mujer		Estudiante	Civil					Viva	
359772	54810	TIBU	NORTE DE SANTANDER	0000	07	16	401206	Mujer		Estudiante	Civil					Viva	
359773	20178	CHIRIGUANA	CESAR	0000	00	00	401207	Mujer		Sin Informacion	Civil					Desconocida	
359774	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401208	Mujer		Sin Informacion	Civil					Desconocida	
359775	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401209	Mujer		Sin Informacion	Civil					Desconocida	
359776	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401210	Mujer		Sin Informacion	Civil					Desconocida	
359777	25001	AGUA DE DIOS	CUNDINAMARCA	0000	00	00	401211	Mujer		Sin Informacion	Civil					Desconocida	
359778	76001	CALI	VALLE DEL CAUCA	0000	00	00	401212	Sin Informacion		Sin Informacion	Civil					Desconocida	
359779	11001	BOGOTA, D.C.	BOGOTA, D.C.	0000	00	00	401213	Mujer		Sin Informacion	Civil					Desconocida	
359780	05001	MEDELLIN	ANTIOQUIA	0000	00	00	401214	Mujer		Sin Informacion	Civil					Desconocida	
359781	19212	CORINTO	CAUCA	0000	00	00	401215	Hombre		Sin Informacion	Civil					Desconocida	
359782	05541	PEÑOL	ANTIOQUIA	0000	00	00	401216	Mujer		Sin Informacion	Civil					Desconocida	
359783	13030	ALTOS DEL ROSARIO	BOLIVAR	0000	00	00	401217	Mujer		Sin Informacion	Civil					Desconocida	
359784	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401218	Mujer		Sin Informacion	Civil					Desconocida	
359785	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401219	Mujer		Sin Informacion	Civil					Desconocida	
359786	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401220	Mujer		Sin Informacion	Civil					Desconocida	
359787	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401221	Hombre		Sin Informacion	Civil					Desconocida	
359788	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401222	Mujer		Sin Informacion	Civil					Desconocida	
359789	76828	TRUJILLO	VALLE DEL CAUCA	0000	00	00	401223	Mujer		Sin Informacion	Civil					Desconocida	
359790	52540	POLICARPA	NARIÑO	0000	00	00	401224	Mujer		Sin Informacion	Civil					Desconocida	
359791	13244	EL CARMEN DE BOLIVAR	BOLIVAR	0000	00	00	401225	Mujer		Sin Informacion	Civil					Viva	
359792	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401226	Hombre		Sin Informacion	Civil					Desconocida	
359793	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401227	Mujer		Sin Informacion	Civil					Desconocida	
359794	66001	PEREIRA	RISARALDA	0000	00	00	401228	Mujer		Sin Informacion	Civil					Desconocida	
359795	76001	CALI	VALLE DEL CAUCA	0000	00	00	401229	Mujer		Sin Informacion	Civil					Desconocida	
359797	73624	ROVIRA	TOLIMA	0000	00	00	401231	Mujer		Sin Informacion	Civil					Desconocida	
359798	05736	SEGOVIA	ANTIOQUIA	0000	00	00	401232	Hombre		Sin Informacion	Civil					Desconocida	
359799	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401233	Mujer		Sin Informacion	Civil					Desconocida	
359800	05480	MUTATA	ANTIOQUIA	0000	00	00	401234	Hombre		Sin Informacion	Civil					Desconocida	
359801	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401235	Mujer		Sin Informacion	Civil					Desconocida	
359802	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401236	Mujer		Sin Informacion	Civil					Desconocida	
359803	05147	CAREPA	ANTIOQUIA	0000	00	00	401237	Mujer		Sin Informacion	Civil					Desconocida	
359804	76113	BUGALAGRANDE	VALLE DEL CAUCA	0000	00	00	401238	Mujer		Sin Informacion	Civil					Desconocida	
359805	18785	SOLITA	CAQUETA	0000	00	00	401239	Mujer		Sin Informacion	Civil					Desconocida	
359806	52001	PASTO	NARIÑO	0000	00	00	401240	Mujer		Sin Informacion	Civil					Desconocida	
359807	50568	PUERTO GAITAN	META	0000	00	00	401241	Mujer		Sin Informacion	Civil					Desconocida	
359808	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401242	Mujer		Sin Informacion	Civil					Desconocida	
359809	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401243	Mujer		Sin Informacion	Civil					Desconocida	
359810	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401244	Hombre		Sin Informacion	Civil					Desconocida	
359811	11001	BOGOTA, D.C.	BOGOTA, D.C.	0000	00	00	401245	Hombre		Sin Informacion	Civil					Desconocida	
359812	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401246	Hombre		Sin Informacion	Civil					Desconocida	
359813	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401247	Hombre		Sin Informacion	Civil					Desconocida	
359814	23068	AYAPEL	CORDOBA	0000	00	00	401248	Mujer		Sin Informacion	Civil					Desconocida	
359815	19392	LA SIERRA	CAUCA	0000	00	00	401249	Mujer		Sin Informacion	Civil					Desconocida	
359816	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401250	Mujer		Sin Informacion	Civil					Desconocida	
359817	25178	CHIPAQUE	CUNDINAMARCA	0000	00	00	401251	Mujer		Sin Informacion	Civil					Desconocida	
359818	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401252	Mujer		Sin Informacion	Civil					Desconocida	
359819	66594	QUINCHIA	RISARALDA	0000	00	00	401253	Mujer		Sin Informacion	Civil					Desconocida	
359820	17614	RIOSUCIO	CALDAS	0000	00	00	401254	Mujer		Sin Informacion	Civil					Desconocida	
359821	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401255	Mujer		Sin Informacion	Civil					Desconocida	
359822	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401256	Hombre		Sin Informacion	Civil					Desconocida	
359823	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401257	Mujer		Sin Informacion	Civil					Desconocida	
359824	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401258	Mujer		Sin Informacion	Civil					Desconocida	
359825	23855	VALENCIA	CORDOBA	0000	00	00	401259	Mujer		Sin Informacion	Civil					Desconocida	
359826	81736	SARAVENA	ARAUCA	0000	00	00	401260	Mujer		Sin Informacion	Civil					Desconocida	
359827	05480	MUTATA	ANTIOQUIA	0000	00	00	401261	Mujer		Sin Informacion	Civil					Desconocida	
359828	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401262	Mujer		Sin Informacion	Civil					Desconocida	
359829	11001	BOGOTA, D.C.	BOGOTA, D.C.	0000	00	00	401263	Mujer		Sin Informacion	Civil					Desconocida	
359830	27001	QUIBDO	CHOCO	0000	00	00	401264	Mujer		Sin Informacion	Civil					Desconocida	
359831	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401265	Mujer		Sin Informacion	Civil					Desconocida	
359832	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401266	Hombre		Sin Informacion	Civil					Desconocida	
359834	18785	SOLITA	CAQUETA	0000	00	00	401268	Mujer		Sin Informacion	Civil					Desconocida	
359835	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401269	Mujer		Sin Informacion	Civil					Desconocida	
359837	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401271	Mujer		Sin Informacion	Civil					Desconocida	
359838	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401272	Mujer		Sin Informacion	Civil					Desconocida	
359839	05736	SEGOVIA	ANTIOQUIA	0000	00	00	401273	Mujer		Sin Informacion	Civil					Desconocida	
359840	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401274	Mujer		Sin Informacion	Civil					Desconocida	
359841	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401275	Mujer		Sin Informacion	Civil					Desconocida	
359842	81736	SARAVENA	ARAUCA	0000	00	00	401276	Mujer		Sin Informacion	Civil					Desconocida	
359843	20013	AGUSTIN CODAZZI	CESAR	0000	00	00	401277	Mujer		Sin Informacion	Civil					Desconocida	
359844	05854	VALDIVIA	ANTIOQUIA	0000	00	00	401278	Mujer		Sin Informacion	Civil					Desconocida	
359845	47053	ARACATACA	MAGDALENA	0000	00	00	401279	Mujer		Sin Informacion	Civil					Desconocida	
359846	18785	SOLITA	CAQUETA	0000	00	00	401280	Mujer		Sin Informacion	Civil					Desconocida	
359848	81065	ARAUQUITA	ARAUCA	0000	00	00	401282	Mujer		Sin Informacion	Civil					Desconocida	
359849	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401283	Mujer		Sin Informacion	Civil					Desconocida	
359850	86571	PUERTO GUZMAN	PUTUMAYO	0000	00	00	401284	Mujer		Sin Informacion	Civil					Desconocida	
359851	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401285	Mujer		Sin Informacion	Civil					Desconocida	
359852	23466	MONTELIBANO	CORDOBA	0000	00	00	401286	Mujer		Sin Informacion	Civil					Desconocida	
359853	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401287	Mujer		Sin Informacion	Civil					Desconocida	
359854	86865	VALLE DEL GUAMUEZ	PUTUMAYO	0000	00	00	401288	Mujer		Sin Informacion	Civil					Desconocida	
359855	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401289	Mujer		Sin Informacion	Civil					Desconocida	
359856	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401290	Mujer		Sin Informacion	Civil					Desconocida	
359857	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401291	Mujer		Sin Informacion	Civil					Desconocida	
359858	13074	BARRANCO DE LOBA	BOLIVAR	0000	00	00	401292	Mujer		Sin Informacion	Civil					Desconocida	
359859	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401293	Mujer		Sin Informacion	Civil					Desconocida	
359860	13688	SANTA ROSA DEL SUR	BOLIVAR	0000	00	00	401294	Mujer		Sin Informacion	Civil					Desconocida	
359861	19698	SANTANDER DE QUILICHAO	CAUCA	0000	00	00	401295	Mujer		Sin Informacion	Civil					Desconocida	
359862	54261	EL ZULIA	NORTE DE SANTANDER	0000	00	00	401296	Mujer		Sin Informacion	Civil					Desconocida	
359863	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401297	Mujer		Sin Informacion	Civil					Desconocida	
359865	18001	FLORENCIA	CAQUETA	0000	00	00	401299	Hombre		Sin Informacion	Civil					Desconocida	
359866	70678	SAN BENITO ABAD	SUCRE	0000	00	00	401300	Mujer		Sin Informacion	Civil					Desconocida	
359867	18150	CARTAGENA DEL CHAIRA	CAQUETA	0000	00	00	401301	Hombre		Sin Informacion	Civil					Desconocida	
359868	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401302	Hombre		Sin Informacion	Civil					Desconocida	
359869	86568	PUERTO ASIS	PUTUMAYO	0000	00	00	401303	Hombre		Sin Informacion	Civil					Desconocida	
359870	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401304	Hombre		Sin Informacion	Civil					Desconocida	
359871	70713	SAN ONOFRE	SUCRE	0000	00	00	401305	Mujer		Sin Informacion	Civil					Desconocida	
359872	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401306	Hombre		Sin Informacion	Civil					Desconocida	
359873	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401307	Hombre		Sin Informacion	Civil					Desconocida	
359874	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401308	Hombre		Sin Informacion	Civil					Desconocida	
359875	27800	UNGUIA	CHOCO	0000	00	00	401309	Hombre		Sin Informacion	Civil					Desconocida	
359876	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401310	Mujer		Sin Informacion	Civil					Desconocida	
359877	11001	BOGOTA, D.C.	BOGOTA, D.C.	0000	00	00	401311	Mujer		Sin Informacion	Civil					Desconocida	
359878	86865	VALLE DEL GUAMUEZ	PUTUMAYO	0000	00	00	401312	Mujer		Sin Informacion	Civil					Desconocida	
359879	76275	FLORIDA	VALLE DEL CAUCA	0000	00	00	401313	Mujer		Sin Informacion	Civil					Desconocida	
359880	52405	LEIVA	NARIÑO	0000	00	00	401314	Mujer		Sin Informacion	Civil					Desconocida	
359881	20001	VALLEDUPAR	CESAR	0000	00	00	401315	Mujer		Sin Informacion	Civil					Desconocida	
359882	05001	MEDELLIN	ANTIOQUIA	0000	00	00	401316	Hombre		Sin Informacion	Civil					Desconocida	
359883	50400	LEJANIAS	META	0000	00	00	401317	Hombre		Sin Informacion	Civil					Desconocida	
359884	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401318	Hombre		Sin Informacion	Civil					Desconocida	
359885	86001	MOCOA	PUTUMAYO	0000	00	00	401319	Mujer		Sin Informacion	Civil					Desconocida	
359886	05001	MEDELLIN	ANTIOQUIA	0000	00	00	401320	Hombre		Sin Informacion	Civil					Desconocida	
359887	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401321	Hombre		Sin Informacion	Civil					Desconocida	
359888	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401322	Hombre		Sin Informacion	Civil					Desconocida	
359889	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401323	Mujer		Sin Informacion	Civil					Desconocida	
359890	50001	VILLAVICENCIO	META	0000	00	00	401324	Hombre		Sin Informacion	Civil					Desconocida	
359891	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401325	Mujer		Sin Informacion	Civil					Desconocida	
359892	05002	ABEJORRAL	ANTIOQUIA	0000	00	00	401326	Mujer		Sin Informacion	Civil					Desconocida	
359893	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401327	Mujer		Sin Informacion	Civil					Desconocida	
359894	20238	EL COPEY	CESAR	0000	00	00	401328	Mujer		Sin Informacion	Civil					Desconocida	
359895	18001	FLORENCIA	CAQUETA	0000	00	00	401329	Mujer		Sin Informacion	Civil					Desconocida	
359896	05001	MEDELLIN	ANTIOQUIA	0000	00	00	401330	Mujer		Sin Informacion	Civil					Desconocida	
359897	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401331	Mujer		Sin Informacion	Civil					Desconocida	
359898	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401332	Mujer		Sin Informacion	Civil					Desconocida	
359900	68575	PUERTO WILCHES	SANTANDER	0000	00	00	401334	Mujer		Sin Informacion	Civil					Desconocida	
359903	25394	LA PALMA	CUNDINAMARCA	0000	00	00	401337	Mujer		Sin Informacion	Civil					Desconocida	
359904	86568	PUERTO ASIS	PUTUMAYO	0000	00	00	401338	Hombre		Sin Informacion	Civil					Desconocida	
359905	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401339	Mujer		Sin Informacion	Civil					Desconocida	
359906	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401340	Hombre		Sin Informacion	Civil					Desconocida	
359907	05107	BRICEÑO	ANTIOQUIA	0000	00	00	401341	Mujer		Sin Informacion	Civil					Desconocida	
359908	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401342	Mujer		Sin Informacion	Civil					Desconocida	
